ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,LC_LO,LC_LA,FCLTY_ID,OPNNG_YEAR,ADTION_DC,FCLTY_SEAT_CO,PRFPLC_CO,TEL_NO,HMPG_ADDR,FCLTY_SEAT_CO,PBLPRFR_CAS_CO,RASNG_CUTIN_CAS_CO,VIEWNG_CAS_CO,ADVANTK_CAS_CO,PRVATE_PUBLIC_AT,UPDT_DT,ORIGIN_NM,FILE_NM,BASE_DE
KCWKPRF22N000000011,문화시설,공연장,GBB스페이스홀(구. 임혁필소극장),서울특별시,마포구,1144012200,합정동,1144068000,합정동,1.14E+11,서울특별시 마포구 포은로 14 (합정동),4026,다사478501,126.9093577,37.5494274,947827.2753,1950173.844,FC000629,2012,민간(대학로 외),100,1,,,100,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000012,문화시설,공연장,GET SPACE(겟 스페이스),대구광역시,남구,2720010300,대명동,2720058600,대명3동,1.16E+11,대구광역시 남구 현충로 233 (대명3동),42408,라마977624,128.5827764,35.8534208,1097770.176,1762416.995,FC002104,2014,민간(대학로 외),100,1,,,100,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000013,문화시설,공연장,JCC 아트센터,서울특별시,종로구,1111016900,혜화동,1111065000,혜화동,1.11E+11,서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터,3076,다사560543,127.0018857,37.5871832,956022.738,1954315.333,FC002014,2015,민간(대학로),175,4,02-2138-7373,http://www.jeijcc.org/intro.html,175,21,21,23,456,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000014,문화시설,공연장,JDB스퀘어,서울특별시,마포구,1144012000,서교동,1144066000,서교동,1.14E+11,서울특별시 마포구 잔다리로 31 (서교동),4043,다사487503,126.9196887,37.551202,948741.0586,1950365.043,FC002723,2018,민간(대학로 외),120,1,02-332-6967,http://jdbsquare.com,120,1,0,2,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000015,문화시설,공연장,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 동숭길 94 (동숭동),3085,다사562537,127.004358,37.5824326,956238.2316,1953787.122,FC001784,2018,민간(대학로),194,1,,,194,2,1,272,8320,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000016,문화시설,공연장,JTN 아트홀(구. 대학로예술마당),서울특별시,종로구,1111016500,이화동,1111064000,이화동,1.11E+11,서울특별시 종로구 이화장길 26 (이화동),3100,다사561531,127.0039323,37.5766441,956197.254,1953145.114,FC001575,2016,민간(대학로),856,4,02-779-1595,http://www.jtnarthall.com/,856,6,3,378,11006,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000017,문화시설,공연장,J아트홀,울산광역시,중구,3111011800,반구동,3111053000,반구2동,3.11E+11,울산광역시 중구 번영로 470 (반구동),44510,마마663312,129.335581,35.5634262,1166352.848,1731262.901,FC001885,2015,민간(대학로 외),220,1,052-297-5200,http://www.jusbank.co.kr/,220,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000018,문화시설,공연장,KBS 수원아트홀,경기도,수원시,4111514100,인계동,4111573000,인계동,4.11E+11,경기도 수원시 팔달구 인계로 123 (인계동),16487,다사583188,127.0306632,37.2679377,958387.1175,1918884.431,FC000139,2008,공공(기타),200,1,031-216-5201,http://www.kbssuwonart.co.kr/,200,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000019,문화시설,공연장,KBS홀,서울특별시,영등포구,1156011000,여의도동,1156054000,여의동,1.16E+11,서울특별시 영등포구 여의공원로 13 (여의도동),7235,다사484475,126.9167168,37.5259699,948461.1837,1947567.296,FC001333,1991,공공(기타),1661,1,02-781-2283,http://office.kbs.co.kr/kbshall/,1661,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000020,문화시설,공연장,KB아트홀 [강남] (구. LIG아트홀 강남),서울특별시,강남구,1168010100,역삼동,1168064000,역삼1동,1.17E+11,서울특별시 강남구 테헤란로 117 (역삼동) KB손해보험빌딩,6134,다사584445,127.0302641,37.4991598,958479.4222,1944536.72,FC000926,2006,민간(대학로 외),147,1,02-6900-3524,http://www.kbarthall.com/Global/Index,147,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000021,문화시설,공연장,KB아트홀 [부산] (구. LIG아트홀 부산),부산광역시,동구,2617010400,범일동,2617066000,범일2동,2.62E+11,부산광역시 동구 자성로133번길 15 (범일동),48743,마라424836,129.0640578,35.1382497,1142488.42,1683679.094,FC000380,2011,민간(대학로 외),252,1,,,252,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000022,문화시설,공연장,KNN씨어터,부산광역시,해운대구,2635010500,우동,2635052000,우2동,2.64E+11,부산광역시 해운대구 센텀서로 30 KNN타워,48058,마라482875,129.1284326,35.1720592,1148292.22,1687523.121,FC001074,2014,민간(대학로 외),280,1,051-664-7880,http://blog.naver.com/papa_busan,280,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000023,문화시설,공연장,KPU 아트센터,경기도,시흥시,4139013200,정왕동,4139059100,정왕1동,4.14E+11,경기도 시흥시 산기대학로 237 (정왕동),15073,다사321270,126.7335394,37.3397327,932107.4201,1927021.53,FC001261,2007,민간(대학로 외),305,1,,,305,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000024,문화시설,공연장,KT&G 상상마당 [춘천],강원도,춘천시,4211012500,삼천동,4211067500,강남동,4.21E+11,강원도 춘천시 스포츠타운길399번길 25 (삼천동),24239,라사177859,127.7020916,37.8736178,1017773.518,1985997.027,FC001594,2014,민간(대학로 외),1700,3,,,1700,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000025,문화시설,공연장,KT&G 상상마당 대치아트홀,서울특별시,강남구,1168010600,대치동,1168061000,대치2동,1.17E+11,서울특별시 강남구 영동대로 416 (대치동),6176,다사615453,127.0653266,37.5065841,961582.4635,1945345.507,FC001864,2006,민간(대학로 외),422,1,02-3404-4311,https://www.sangsangmadang.com/info/DC,422,6,5,181,25238,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000026,문화시설,공연장,KT&G 상상마당 라이브홀 [부산],부산광역시,부산진구,2623010300,부전동,2623052000,부전2동,2.62E+11,부산광역시 부산진구 서면로 39 (부전동),47288,마라418854,129.0573028,35.1542715,1141845.164,1685446.466,FC001448,,민간(대학로 외),0,2,,,0,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000027,문화시설,공연장,KT체임버홀,서울특별시,양천구,1147010200,목동,1147051000,목1동,1.15E+11,서울 양천구 목동 924 ,7994,다사444479,126.871118,37.5294583,944434.6276,1947980.279,FC001075,2009,민간(대학로 외),403,1,02-3414-2063,http://www.ktchamberhall.com/,403,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000028,문화시설,공연장,M극장,서울특별시,강남구,1168010300,개포동,1168069000,개포4동,1.17E+11,서울특별시 강남구 논현로4길 36 (개포동),6314,다사604416,127.0529318,37.4736681,960469.6312,1941698.828,FC001811,2006,민간(대학로 외),150,1,,,150,1,1,1,5,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000029,문화시설,공연장,NC소극장 [부산대],부산광역시,금정구,2641010800,장전동,2641061000,장전2동,2.64E+11,부산광역시 금정구 부산대학로63번길 2 (장전동),46241,마라441941,129.0838245,35.2322428,1144123.257,1694132.721,FC000052,2012,민간(대학로 외),200,1,051-509-7085,https://www.elandretail.com/cinema/cinema02.do?BranchId=00110038,200,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000030,문화시설,공연장,NC소극장 [안산고잔],경기도,안산시,4127310100,고잔동,4127353500,호수동,4.13E+11,경기도 안산시 단원구 광덕대로 194 (고잔동),15462,다사407240,126.8310159,37.3134591,940721.2998,1924041.092,FC000328,,민간(대학로 외),200,1,031-405-2001,https://ansanart1.modoo.at/,200,12,12,70,1760,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000031,문화시설,공연장,NH아트홀 판타스틱 전용관,서울특별시,중구,1114017000,충정로1가,1114052000,소공동,1.11E+11,서울특별시 중구 통일로 120 (충정로1가),4517,다사529519,126.9675766,37.5657854,952980.1986,1951957.964,FC001205,2011,민간(대학로 외),405,1,,,405,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000032,문화시설,공연장,R&J씨어터(구. 연진아트홀),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 낙산길 14 (동숭동),3088,다사563535,127.0052781,37.5803334,956318.2442,1953553.797,FC000002,2006,민간(대학로),130,1,02-747-1912,,130,14,13,151,1172,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000033,문화시설,공연장,"SCC홀(구. DS홀, 서울바로크챔버홀)",서울특별시,서초구,1165010800,서초동,1165053000,서초3동,1.17E+11,서울특별시 서초구 남부순환로325길 9,6719,다사570426,127.0145111,37.4817321,957077.0136,1942610.296,FC000266,2005,민간(대학로 외),200,1,,,200,12,12,13,376,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000034,문화시설,공연장,SH아트홀,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 동숭길 25 (동숭동),3086,다사561535,127.0035688,37.5799011,956167.0661,1953506.632,FC001172,2011,민간(대학로),262,1,02-747-2265,https://www.facebook.com/sharthall/,262,3,3,163,9212,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000035,문화시설,공연장,VK아트홀,경상남도,진주시,4817031022,내동면 신율리,4817031000,내동면,2.71E+11,경상남도 진주시 내동면 내동로 213,52849,라라536842,128.089231,35.1517804,1053669.151,1684219.015,FC002663,2016,민간(대학로 외),50,1,,,50,1,1,1,1,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000036,문화시설,공연장,YMCA정읍시청소년수련관,전라북도,정읍시,4518010400,시기동,4518056500,초산동,4.52E+11,전라북도 정읍시 정읍사로 547 (시기동),56204,다마422286,126.8629309,35.5521923,942259.2385,1728653.522,FC001687,2000,공공(기타),198,1,,,198,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000037,문화시설,공연장,가나의집열림홀,서울특별시,종로구,1111016000,연지동,1111063000,종로5.6가동,1.11E+11,서울특별시 종로구 대학로3길 9 (연지동),3128,다사559528,127.0013443,37.5739848,955967.1664,1952851.287,FC002055,2005,민간(대학로 외),143,1,02-741-4832,https://openhall.modoo.at/,143,10,10,97,1252,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000038,문화시설,공연장,가람아트홀,부산광역시,남구,2629010600,대연동,2629054000,대연4동,2.63E+11,부산광역시 남구 유엔평화로76번길 26 (대연동),48533,마라451825,129.0927865,35.1277188,1145124.573,1682552.59,FC001142,1992,민간(대학로 외),150,1,,,150,3,3,3,74,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000039,문화시설,공연장,가마골소극장,부산광역시,기장군,2671025922,일광읍 이천리,2671025900,일광읍,2.67E+11,부산광역시 기장군 일광면 이천6길 2,46043,마라578982,129.2349033,35.2675453,1157803.877,1698278.179,FC001832,2017,민간(대학로 외),83,1,,,83,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000040,문화시설,공연장,가온아트홀 [부산],부산광역시,동구,2617010400,범일동,2617066000,범일2동,2.62E+11,부산광역시 동구 자성로 133번길 10,48742,마라425836,129.0649149,35.1382083,1142566.582,1683675.73,FC000811,2012,민간(대학로 외),250,2,00-1600-1602,http://gaonart.alltheway.kr/,250,7,7,32,240,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000041,문화시설,공연장,가정생활문화센터 (구.가정청소년문화의집),인천광역시,서구,2826010800,가정동,2826054400,가정3동,1.16E+11,인천광역시 서구 서달로 190 (가정동),22799,다사275465,126.6798899,37.5156992,927524.9411,1946583.919,FC001384,2021,공공(기타),70,1,,,70,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000042,문화시설,공연장,가평문화예술회관,경기도,가평군,4182025022,가평읍 대곡리,4182025000,가평읍,2.63E+11,경기도 가평군 가평읍 문화로 131,12416,라사005806,127.5061252,37.8254311,1000539.048,1980631.524,FC001117,1998,공공(문예회관),891,2,,,891,1,1,3,57,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000043,문화시설,공연장,강남구민회관,서울특별시,강남구,1168010600,대치동,1168061000,대치2동,1.17E+11,서울특별시 강남구 삼성로 154 (대치동),6288,다사614439,127.0642724,37.493888,961482.7691,1943937.388,FC002697,2005,공공(기타),516,1,02-2176-0891,https://cna.gncity.or.kr/center/findcenterall.aspx?center=100014,516,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000044,문화시설,공연장,강동문화복지회관,경상북도,구미시,4719012000,구평동,4719067000,인동동,4.72E+11,경상북도 구미시 인동가산로 392 (구평동) 강동문화복지회관,39444,라마859885,128.4546539,36.0901153,1085943.92,1788550.396,FC001305,2017,공공(문예회관),1217,3,054-480-2990,http://www.gumi.go.kr/artsgd/contents.do?mId=0104040000,1217,26,26,55,9612,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000045,문화시설,공연장,강동아트센터,서울특별시,강동구,1174010300,상일동,1174052500,상일1동,1.17E+11,서울특별시 강동구 동남로 870 (상일동),5278,다사697502,127.1573425,37.5512205,969733.1319,1950264.045,FC001845,2011,공공(문예회관),3256,5,02-440-0500,https://www.gangdongarts.or.kr/,3256,51,51,94,19486,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000046,문화시설,공연장,강동어린이회관,서울특별시,강동구,1174010800,성내동,1174064000,성내1동,1.17E+11,서울특별시 강동구 성내로6길 16 (성내동),5398,다사666478,127.1224053,37.5291955,966637.3126,1947832.325,FC000353,2007,공공(기타),162,1,02-486-3516,http://www.gdkids.or.kr/,162,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000047,문화시설,공연장,강릉단오제전수교육관(구. 단오문화관),강원도,강릉시,4215012100,노암동,4215061500,강남동,4.22E+11,강원도 강릉시 단오장길 1 (노암동),25586,마사229729,128.8950411,37.7482018,1122901.553,1972979.135,FC000838,2004,공공(문예회관),453,1,033-660-3940,http://www.danocenter.kr/,453,13,13,21,1932,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000048,문화시설,공연장,강릉아트센터(구. 강릉문화예술관),강원도,강릉시,4215011000,교동,4215056000,교2동,4.22E+11,강원도 강릉시 종합운동장길 84 (교동),25474,마사228755,128.8954013,37.7716446,1122894.489,1975580.724,FC000802,1992,공공(문예회관),1607,5,033-660-6800,http://www.gn.go.kr/artscenter/index.do,1607,37,37,54,12245,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000049,문화시설,공연장,강북문화예술회관,서울특별시,강북구,1130510300,수유동,1130566000,인수동,1.13E+11,서울특별시 강북구 삼각산로 85 (수유동),1036,다사571602,127.0138781,37.6409898,957112.4373,1960279.403,FC000787,2001,공공(문예회관),668,1,02-944-3065,http://samgaksan.gangbukcmc.seoul.kr/sam/group01/page01.php,668,1,1,3,828,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000050,문화시설,공연장,강북솔밭국악당,서울특별시,강북구,1130510400,우이동,1130564500,우이동,1.13E+11,서울특별시 강북구 삼양로 579 (우이동),1006,다사570618,127.0127106,37.654697,957017.3355,1961800.703,FC001619,,민간(대학로 외),100,1,,,100,1,1,2,28,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000051,문화시설,공연장,강서구민회관,서울특별시,강서구,1150010600,내발산동,1150061500,우장산동,1.15E+11,서울특별시 강서구 우장산로 66 (내발산동),7684,다사420506,126.8436489,37.5534364,942026.1163,1950657.12,FC001685,1989,공공(문예회관),694,2,,,694,0,0,0,0,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000052,문화시설,공연장,강원대학교 백령아트센터,강원도,춘천시,4211011200,효자동,4211063000,효자2동,4.21E+11,강원도 춘천시 강원대학길 1 (효자동),24341,라사218853,127.7483874,37.8680243,1021846.791,1985386.255,FC000028,1994,공공(기타),1600,2,,,1600,5,5,15,4188,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000053,문화시설,공연장,강진아트홀,전라남도,강진군,4681025022,강진읍 남성리,4681025000,강진읍,4.22E+11,전라남도 강진군 강진읍 영랑로1길 9,59233,다라331273,126.7704992,34.6381753,933139.5042,1627346.195,FC000835,2011,공공(문예회관),892,2,061-430-3973,http://arthall.gangjin.go.kr/apps/,892,0,0,0,0,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000054,문화시설,공연장,거제문화예술회관,경상남도,거제시,4831010200,장승포동,4831051000,장승포동,2.82E+11,경상남도 거제시 장승로 145 (장승포동),53322,마라118531,128.7233576,34.8671784,1111816.46,1653181.284,FC000345,2003,공공(문예회관),1933,3,,,1933,10,10,16,3413,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000055,문화시설,공연장,거제시청소년수련관,경상남도,거제시,4831010900,고현동,4831058000,고현동,3.01E+11,경상남도 거제시 계룡로 175 (고현동),53257,마라022550,128.6188887,34.8848005,1102245.599,1655024.002,FC001692,2002,공공(기타),404,1,055-639-8161,http://www.gjyc.kr/_main/main.html,404,5,5,18,2254,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000056,문화시설,공연장,거창문화센터,경상남도,거창군,4888025025,거창읍 김천리,4888025000,거창읍,4.16E+11,경상남도 거창군 수남로 2181 거창군교육문화센터,50147,라마371420,127.9103127,35.6743005,1037132.071,1742087.118,FC001787,2001,공공(문예회관),1015,2,055-940-8460,http://www.gccf.or.kr/bbs/page.php?hid=D_1_2,1015,4,4,6,1218,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000057,문화시설,공연장,거창문화원,경상남도,거창군,4888025027,거창읍 장팔리,4888025000,거창읍,4.16E+11,경상남도 거창군 거창읍 수남로 2193-40,50147,라마370420,127.9094196,35.6735308,1037051.604,1742001.414,FC001349,2011,공공(기타),255,1,055-942-6166,http://geochang.kccf.or.kr/,255,9,9,11,1139,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
