번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,sum
11,영화상영관,03_13_02_P,3600000,CDFF4220002006000001,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마1관,2010/01/11 8:05,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
12,영화상영관,03_13_02_P,3600000,CDFF4220002006000002,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마2관,2010/01/11 8:07,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
13,영화상영관,03_13_02_P,3600000,CDFF4220002006000003,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마3관,2010/01/11 8:08,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
14,영화상영관,03_13_02_P,5180000,CDFF4220002003000001,2003-04-10,,2,휴업,2,휴업,,,,,,,766-824,경상북도 영덕군 강구면 삼사리 38번지,,,영화촌,2010/04/27 10:44,I,2018/08/31 23:59,,,,영화상영관,영화상영관,1,기타,,,1,,문화시설,,,,,,,,,,,,,,,,,,,자동차극장,,20030410,준주거지역,1
15,영화상영관,03_13_02_P,4520000,CDFF4220001998000001,1998-03-22,,2,휴업,2,휴업,,2005-03-14,2007-03-13,,041-545-2566,,336-010,충청남도 아산시 온천동 86-3번지,,,동보극장,2006/02/27 16:06,I,2018/08/31 23:59,,200413.4729,364441.8305,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19980322,,1
16,영화상영관,03_13_02_P,4520000,CDFF4220001998000002,1998-03-23,,2,휴업,2,휴업,,2002-12-23,2003-01-30,,041-545-2006,,336-010,충청남도 아산시 온천동 87-5번지,충청남도 아산시 온천대로 1502-3  (온천동),,온양극장,2003/02/10 9:19,I,2018/08/31 23:59,,200353.0365,364380.7548,영화상영관,영화상영관,5,유흥업소밀집지역,,,4,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,19980323,일반상업지역,1
17,영화상영관,03_13_02_P,3830000,CDFF4220002018000001,2018-08-31,,2,휴업,2,휴업,,,,,031-464-0900,,,경기도 안양시 만안구 안양동 676-1번지 PROJECT 500 TOWER,"경기도 안양시 만안구 안양로 311, PROJECT 500 TOWER 6층 (안양동)",14001,Odyssey VR Cinema,2019/10/14 9:51,U,2019/10/16 2:40,,,,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20180831,,1
18,영화상영관,03_13_02_P,3600000,CDFF4220002004000002,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제2관,2010/05/12 10:43,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,15,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
19,영화상영관,03_13_02_P,3600000,CDFF4220002004000003,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제3관,2010/05/12 10:44,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
20,영화상영관,03_13_02_P,3600000,CDFF4220002004000004,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제4관,2010/05/12 10:44,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,15,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
21,영화상영관,03_13_02_P,3600000,CDFF4220002004000005,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제5관,2010/05/12 10:44,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
22,영화상영관,03_13_02_P,3600000,CDFF4220002004000006,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제6관,2010/05/12 10:45,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
23,영화상영관,03_13_02_P,3600000,CDFF4220002004000007,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제7관,2010/05/12 10:45,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
24,영화상영관,03_13_02_P,3600000,CDFF4220002004000008,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제8관,2010/05/12 10:45,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
25,영화상영관,03_13_02_P,4690000,CDFF4220002002000004,2002-12-24,,2,휴업,2,휴업,,2004-04-29,2004-06-30,,536-4588,,580-140,전라북도 정읍시 과교동 218번지,,,정읍자동차극장,2004/04/29 15:03,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20021224,,1
26,영화상영관,03_13_02_P,4670000,CDFF4220001971000001,1971-12-21,,2,휴업,2,휴업,,2010-01-01,2020-12-31,,,,573-070,전라북도 군산시 개복동 12-1번지,전라북도 군산시 아리랑로 9 (개복동),,국도극장 1관,2017/09/22 9:04,I,2018/08/31 23:59,,174202.2684,276057.8319,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,19711221,,1
27,영화상영관,03_13_02_P,4670000,CDFF4220001991000001,1991-09-11,,2,휴업,2,휴업,,2010-01-01,2020-12-31,,,,573-041,전라북도 군산시 중앙로1가 20-11번지,전라북도 군산시 중정1길 3 (중앙로1가),,아카데미극장,2017/09/22 9:07,I,2018/08/31 23:59,,174148.4748,276166.9504,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,19910911,,1
28,영화상영관,03_13_02_P,4670000,CDFF4220001991000002,1991-12-12,,2,휴업,2,휴업,,2017-01-02,9999-12-31,,,,573-050,전라북도 군산시 신창동 1-3번지,전라북도 군산시 구영3길 77 (신창동),,명화극장,2018/01/02 11:42,I,2018/08/31 23:59,,173660.5389,276458.2718,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,19911212,,1
29,영화상영관,03_13_02_P,4670000,CDFF4220002003000001,2003-06-19,,2,휴업,2,휴업,,2017-01-01,9999-12-31,,,,573-070,전라북도 군산시 개복동 12-1번지,전라북도 군산시 아리랑로 9 (개복동),,국도극장2관,2018/01/02 11:48,I,2018/08/31 23:59,,174202.2684,276057.8319,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030619,,1
30,영화상영관,03_13_02_P,4670000,CDFF4220002003000002,2003-06-19,,2,휴업,2,휴업,,2017-01-01,9999-12-31,,,,573-070,전라북도 군산시 개복동 12-1번지,전라북도 군산시 아리랑로 9 (개복동),,국도극장 2관,2018/01/02 11:49,I,2018/08/31 23:59,,174202.2684,276057.8319,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030619,,1
31,영화상영관,03_13_02_P,4070000,CDFF4220001999000003,1999-07-14,,2,휴업,2,휴업,,2006-04-01,2006-06-30,,633-9600,,467-800,경기도 이천시 중리동 203번지,경기도 이천시 어재연로 24  (중리동),,이천극장3관,2006/04/04 15:25,I,2018/08/31 23:59,,239348.7485,419751.7879,영화상영관,영화상영관,,,,,,,,1.1,,,,,,,,,,,,,,,,,,영화관,,19990714,,1
32,영화상영관,03_13_02_P,4070000,CDFF4220001999000002,1999-07-14,,2,휴업,2,휴업,,2006-04-01,2006-06-30,,633-9600,,467-800,경기도 이천시 중리동 203번지,경기도 이천시 어재연로 24  (중리동),,이천극장2관,2006/04/04 15:25,I,2018/08/31 23:59,,239348.7485,419751.7879,영화상영관,영화상영관,,,,,,,,1.1,,,,,,,,,,,,,,,,,,영화관,,19990714,,1
33,영화상영관,03_13_02_P,4170000,CDFF4220002013000001,2013-05-29,,2,휴업,2,휴업,,2023-07-08,2023-08-18,,773-7893,,476-803,경기도 양평군 양평읍 오빈리 365-9,경기도 양평군 양평읍 수목원길 4,476-803,양평자동차극장,2023/07/11 16:11,U,2023/07/13 2:40,,241509.5153,444541.0218,영화상영관,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20130529,,1
34,영화상영관,03_13_02_P,4990000,CDFF4220002017000001,2017-09-20,,2,휴업,2,휴업,,,,,,,,전라남도 완도군 완도읍 9-191번지,전라남도 완도군 완도읍 개포로159번길 55 (완도맞춤형복합문화센터),59109,완도 빙그레 시네마 1관,2020/03/19 10:43,U,2020/03/21 2:40,,176138.6773,91814.56738,영화상영관,,3,,,,3,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20170920,,1
35,영화상영관,03_13_02_P,4990000,CDFF4220002017000002,2017-09-20,,2,휴업,2,휴업,,,,,,,,전라남도 완도군 완도읍 9-191번지,전라남도 완도군 완도읍 개포로159번길 55 (완도맞춤형복합문화센터),59109,완도 빙그레 시네마 2관,2020/03/19 10:43,U,2020/03/21 2:40,,176138.6773,91814.56738,영화상영관,,3,,,,3,1,,,,,,,,,,,,,,,,,,,,영화관,,20170920,,1
36,영화상영관,03_13_02_P,4810000,CDFF4220002002000001,2002-01-25,,2,휴업,2,휴업,,,,,663-2680,,550-803,전라남도 여수시 교동 497번지,전라남도 여수시 중앙로 54  (교동),,중앙극장,2009/12/31 11:35,I,2018/08/31 23:59,,267089.7281,138176.6377,영화상영관,영화상영관,3,,,,3,1,,6,,,,,,,,,,,,,,,,,,영화관,,20020125,,1
37,영화상영관,03_13_02_P,4810000,CDFF4220002002000006,2002-11-11,,2,휴업,2,휴업,,2003-03-10,2004-12-31,,644-4252,,556-905,전라남도 여수시 돌산읍 평사리 1271-6번지,,,동백골시네파크,2004/07/05 10:21,I,2018/08/31 23:59,,271033.9979,132107.939,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20021111,,1
38,영화상영관,03_13_02_P,4810000,CDFF4220002002000010,2002-01-25,,2,휴업,2,휴업,,2004-10-25,2005-04-24,,,,550-803,전라남도 여수시 교동 497번지,전라남도 여수시 중앙로 54  (교동),,중앙극장,2004/11/06 10:28,I,2018/08/31 23:59,,267089.7281,138176.6377,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20020125,,1
39,영화상영관,03_13_02_P,4181000,CDFF4220001987000001,1987-11-10,,2,휴업,2,휴업,,2013-11-21,,,033)256-3367,,200-941,강원특별자치도 춘천시 조양동 25-1 (피카디리극장),"강원특별자치도 춘천시 시청길 12 (조양동, (피카디리극장))",24352,피카디리극장,2019/01/04 10:10,I,2023/06/13 0:00,,264058.0104,486641.2459,영화상영관,영화상영관,0,,,0,2,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19871110,,1
40,영화상영관,03_13_02_P,4181000,CDFF4220001991000002,1991-09-04,,2,휴업,2,휴업,,2013-02-16,,,033)256-7701,,200-941,"강원특별자치도 춘천시 조양동 25-1 2,3호",강원특별자치도 춘천시 시청길 12 (조양동),24352,아카데미극장,2019/01/04 10:13,I,2023/06/13 0:00,,264058.0104,486641.2459,영화상영관,영화상영관,0,,,0,3,1,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19910904,,1
41,영화상영관,03_13_02_P,4800000,CDFF4220001989000001,1989-04-27,,2,휴업,2,휴업,,2003-02-21,2003-12-31,,061-244-0650,,530-250,전라남도 목포시 상락동1가 1번지,전라남도 목포시 삼학로16번길 1  (상락동1가),,남일극장,2003/02/26 13:08,I,2018/08/31 23:59,,143852.8103,143641.8757,영화상영관,영화상영관,2,기타,,,2,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,19890427,일반상업지역,1
42,영화상영관,03_13_02_P,4820000,CDFF4220001974000001,1974-07-10,,2,휴업,2,휴업,,2004-01-30,2005-01-30,,752-3946,,540-210,전라남도 순천시 중앙동 24-5번지 (1층),전라남도 순천시 중앙6길 16 (중앙동),540-210,국도극장,2011/10/30 19:18,I,2018/08/31 23:59,,244212.1139,162047.8667,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19740710,,1
43,영화상영관,03_13_02_P,4820000,CDFF4220001990000001,1990-01-23,,2,휴업,2,휴업,,,,,,,,전라남도 순천시 남내동 8-2번지 (3층),전라남도 순천시 시민로 47 (남내동),540-220,피카디리극장,2011/10/30 19:19,I,2018/08/31 23:59,,244312.8715,161790.921,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19900123,,1
44,영화상영관,03_13_02_P,4880000,CDFF4220002003000002,2003-12-10,,2,휴업,2,휴업,,,,,,,548-831,전라남도 고흥군 과역면 과역리 196번지,,,흥양영화사,2010/04/15 9:50,I,2018/08/31 23:59,,233059.5743,131389.4319,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031210,,1
45,영화상영관,03_13_02_P,5070000,CDFF4220002002000001,2002-01-28,,2,휴업,2,휴업,,2010-01-04,,,054-853-6657,,760-220,경상북도 안동시 광석동 250번지,경상북도 안동시 광석1길 28 (광석동),760-220,대안극장,2013/12/31 12:31,I,2018/08/31 23:59,,354141.4404,341864.8004,영화상영관,영화상영관,,,,,,,,0.7,,,,,,,,,,,,,,,,,,영화관,,20020128,,1
46,영화상영관,03_13_02_P,5070000,CDFF4220002002000002,2002-10-29,,2,휴업,2,휴업,,2009-11-18,,,054-854-2255,,760-090,경상북도 안동시 서부동 182-2번지,경상북도 안동시 번영길 27  (서부동),,안동극장,2013/10/07 16:47,I,2018/08/31 23:59,,354685.8576,341885.7615,영화상영관,영화상영관,,,,,,,,0.9,,,,,,,,,,,,,,,,,,영화관,,20021029,,1
47,영화상영관,03_13_02_P,4400000,CDFF4220001967000001,1967-02-06,,2,휴업,2,휴업,,2004-12-28,2007-12-31,,,,390-011,충청북도 제천시 중앙로1가 11번지,충청북도 제천시 풍양로17길 14  (중앙로1가),,중앙극장,2009/06/16 15:07,I,2018/08/31 23:59,,307668.3354,404699.2423,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19670206,,1
48,영화상영관,03_13_02_P,3990000,CDFF4220002004000002,2004-08-19,,2,휴업,2,휴업,,2011-02-09,2016-01-31,,592-6611,,472-842,경기도 남양주시 화도읍 구암리 114-4번지,,,씨네존21(2관),2011/02/11 10:17,I,2018/08/31 23:59,,232709.0628,462968.6206,영화상영관,영화상영관,,기타,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20040819,관리지역,1
49,영화상영관,03_13_02_P,4090000,CDFF4220002007000001,2007-04-11,,2,휴업,2,휴업,,2019-01-01,2020-12-31,,,,415-802,경기도 김포시 사우동 262번지,경기도 김포시 사우중로3번길 13-17 (사우동),,서경필름(여성회관대관),2020/02/18 9:14,U,2020/02/20 2:40,,174725.2512,457094.6359,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20070411,,1
50,영화상영관,03_13_02_P,3940000,CDFF4220001999000009,1999-06-12,,2,휴업,2,휴업,,,,,,,412-827,경기도 고양시 덕양구 화정동 970번지 위성스타렉스 5층,"경기도 고양시 덕양구 화정로 52  (화정동,위성스타렉스 5층)",,시네피아 1관,2010/08/19 9:25,I,2018/11/03 13:17,,185048.4264,459123.5198,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990612,,1
51,영화상영관,03_13_02_P,3940000,CDFF4220001999000010,1999-06-12,,2,휴업,2,휴업,,,,,,,412-827,경기도 고양시 덕양구 화정동 970번지 위성스타렉스5층,"경기도 고양시 덕양구 화정로 52  (화정동,위성스타렉스5층)",,시네피아 2관,2010/08/20 15:19,I,2018/11/03 13:17,,185048.4264,459123.5198,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990612,,1
52,영화상영관,03_13_02_P,3940000,CDFF4220002002000002,2002-11-28,,2,휴업,2,휴업,,,,,,,412-827,"경기도 고양시 덕양구 화정동 983-1번지 현대프라자 6층, 7층","경기도 고양시 덕양구 화신로272번길 29  (화정동,현대프라자 6층, 7층)",,시네피아 3관,2010/08/20 15:19,I,2018/11/03 13:17,,185033.7765,458905.0879,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021128,,1
53,영화상영관,03_13_02_P,3940000,CDFF4220002002000003,2002-11-28,,2,휴업,2,휴업,,,,,,,412-827,"경기도 고양시 덕양구 화정동 983-1번지 현대프라자6층,7층","경기도 고양시 덕양구 화신로272번길 29  (화정동,현대프라자6층,7층)",,시네피아 4관,2010/08/20 15:20,I,2018/11/03 13:17,,185033.7765,458905.0879,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021128,,1
54,영화상영관,03_13_02_P,3940000,CDFF4220002002000004,2002-11-28,,2,휴업,2,휴업,,,,,,,412-827,"경기도 고양시 덕양구 화정동 983-1번지 현대프라자6층,7층","경기도 고양시 덕양구 화신로272번길 29  (화정동,현대프라자6층,7층)",,시네피아 5관,2010/08/20 15:20,I,2018/11/03 13:17,,185033.7765,458905.0879,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021128,,1
55,영화상영관,03_13_02_P,3940000,CDFF4220002007000017,2007-07-06,,2,휴업,2,휴업,,2023-07-13,2025-07-12,,031-914-5580,,,경기도 고양시 일산서구 덕이동 219-10,경기도 고양시 일산서구 덕이로 30-8 (덕이동),,메가박스일산 8관(FS관),2023/07/27 17:08,U,2023/07/29 2:40,,178429.4379,465276.387,영화상영관,영화상영관,4,,,0,3,1,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20070706,관리지역,1
56,영화상영관,03_13_02_P,3940000,CDFF4220002002000005,2002-11-28,,2,휴업,2,휴업,,,,,,,412-827,"경기도 고양시 덕양구 화정동 983-1번지 현대프라자 6층,7층","경기도 고양시 덕양구 화신로272번길 29  (화정동,현대프라자 6층,7층)",,시네피아 6관,2010/10/05 15:03,I,2018/11/03 13:17,,185033.7765,458905.0879,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021128,,1
57,영화상영관,03_13_02_P,3940000,CDFF4220002002000006,2002-11-28,,2,휴업,2,휴업,,,,,,,412-827,"경기도 고양시 덕양구 화정동 983-1번지 현대프라자 6층,7층","경기도 고양시 덕양구 화신로272번길 29  (화정동,현대프라자 6층,7층)",,시네피아 7관,2010/10/05 15:03,I,2018/11/03 13:17,,185033.7765,458905.0879,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021128,,1
58,영화상영관,03_13_02_P,3590000,CDFF4220001988000001,1988-06-16,,3,폐업,3,폐업,2004-02-20,,,,,,501-120,광주광역시 동구 호남동 23-8번지,광주광역시 동구 천변우로 363-10  (호남동),,씨네코아 극장,2004/02/23 15:37,I,2018/08/31 23:59,,191879.5806,183255.2774,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19880616,,1
59,영화상영관,03_13_02_P,3590000,CDFF4220001999000003,1999-05-08,,3,폐업,3,폐업,2003-07-03,,,,224-6611,,501-015,광주광역시 동구 충장로5가 80번지,광주광역시 동구 충장로22번길 7  (충장로5가),,아카데미1관,2003/07/23 10:12,I,2018/08/31 23:59,,191803.9526,183564.4144,영화상영관,영화상영관,4,,,,3,1,,,,,,,,,,,,,,,,,,,,영화관,,19990508,,1
60,영화상영관,03_13_02_P,3590000,CDFF4220001999000004,1999-05-08,,3,폐업,3,폐업,2009-04-20,,,,232-9111,,501-011,광주광역시 동구 충장로1가 25-1번지,광주광역시 동구 충장로 102-12  (충장로1가),,무등극장9관,2009/06/09 10:03,I,2018/08/31 23:59,,192399.7088,183105.612,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990508,,1
